rows,cols,attempt,time,operation
100, 100, 1, 0.000011, 0
100, 100, 1, 0.000010, 1
100, 100, 2, 0.000011, 0
100, 100, 2, 0.000011, 1
100, 100, 3, 0.000011, 0
100, 100, 3, 0.000011, 1
100, 1000, 1, 0.000101, 0
100, 1000, 1, 0.000134, 1
100, 1000, 2, 0.000190, 0
100, 1000, 2, 0.000494, 1
100, 1000, 3, 0.000096, 0
100, 1000, 3, 0.000114, 1
100, 10000, 1, 0.000971, 0
100, 10000, 1, 0.002519, 1
100, 10000, 2, 0.000994, 0
100, 10000, 2, 0.001254, 1
100, 10000, 3, 0.001007, 0
100, 10000, 3, 0.001234, 1
100, 100000, 1, 0.010035, 0
100, 100000, 1, 0.024119, 1
100, 100000, 2, 0.009967, 0
100, 100000, 2, 0.024007, 1
100, 100000, 3, 0.009961, 0
100, 100000, 3, 0.024211, 1
1000, 100, 1, 0.000103, 0
1000, 100, 1, 0.000108, 1
1000, 100, 2, 0.000102, 0
1000, 100, 2, 0.000109, 1
1000, 100, 3, 0.000103, 0
1000, 100, 3, 0.000108, 1
1000, 1000, 1, 0.001021, 0
1000, 1000, 1, 0.002437, 1
1000, 1000, 2, 0.001002, 0
1000, 1000, 2, 0.002466, 1
1000, 1000, 3, 0.001000, 0
1000, 1000, 3, 0.002554, 1
1000, 10000, 1, 0.009940, 0
1000, 10000, 1, 0.028170, 1
1000, 10000, 2, 0.009933, 0
1000, 10000, 2, 0.028512, 1
1000, 10000, 3, 0.010323, 0
1000, 10000, 3, 0.028680, 1
1000, 100000, 1, 0.117645, 0
1000, 100000, 1, 0.525825, 1
1000, 100000, 2, 0.107748, 0
1000, 100000, 2, 0.319163, 1
1000, 100000, 3, 0.106088, 0
1000, 100000, 3, 0.527256, 1
10000, 100, 1, 0.001054, 0
10000, 100, 1, 0.001880, 1
10000, 100, 2, 0.001263, 0
10000, 100, 2, 0.002219, 1
10000, 100, 3, 0.001042, 0
10000, 100, 3, 0.001869, 1
10000, 1000, 1, 0.012438, 0
10000, 1000, 1, 0.038067, 1
10000, 1000, 2, 0.010096, 0
10000, 1000, 2, 0.037697, 1
10000, 1000, 3, 0.010110, 0
10000, 1000, 3, 0.039057, 1
10000, 10000, 1, 0.107578, 0
10000, 10000, 1, 0.613306, 1
10000, 10000, 2, 0.101543, 0
10000, 10000, 2, 0.631313, 1
10000, 10000, 3, 0.099018, 0
10000, 10000, 3, 0.642649, 1
100000, 100, 1, 0.010685, 0
100000, 100, 1, 0.035853, 1
100000, 100, 2, 0.010740, 0
100000, 100, 2, 0.033693, 1
100000, 100, 3, 0.011981, 0
100000, 100, 3, 0.033744, 1
100000, 1000, 1, 0.104670, 0
100000, 1000, 1, 0.675366, 1
100000, 1000, 2, 0.104786, 0
100000, 1000, 2, 0.788915, 1
100000, 1000, 3, 0.102021, 0
100000, 1000, 3, 0.679362, 1
1000000, 100, 1, 0.132087, 0
1000000, 100, 1, 0.880419, 1
1000000, 100, 2, 0.117980, 0
1000000, 100, 2, 0.825954, 1
1000000, 100, 3, 0.112168, 0
1000000, 100, 3, 0.939049, 1
